단축코드,한글 종목약명,시장구분
010960,삼호개발,P
046390,삼화네트웍스,Q
004450,삼화왕관,P
009470,삼화전기,P
011230,삼화전자,P
001820,삼화콘덴서,P
027580,상보,Q
038540,상상인,Q
001290,상상인증권,P
041650,상신브레이크,P
091580,상신이디피,Q
263810,상신전자,Q
089980,상아프론테크,Q
042940,상지건설,Q
042600,새로닉스,Q
075180,새론오토모티브,P
107600,새빗켐,Q
411080,샌즈랩,Q
252990,샘씨엔에스,Q
007540,샘표,P
248170,샘표식품,P
378800,샤페론,Q
294630,서남,Q
038070,서린바이오,Q
006730,서부T&D,Q
079650,서산,Q
100660,서암기계공업,Q
007860,서연,P
200880,서연이화,P
019770,서연탑메탈,Q
017390,서울가스,P
092190,서울바이오시스,Q
046890,서울반도체,Q
031210,서울보증보험,P
004415,서울식품우,P
004410,서울식품,P
063170,서울옥션,Q
027040,서울전자통신,Q
018680,서울제약,Q
036120,서울평가정보,Q
021050,서원,P
093920,서원인텍,Q
189860,서전기전,Q
178320,서진시스템,Q
122690,서진오토모티브,Q
140070,서플러스글로벌,Q
011370,서한,Q
065710,서호전기,Q
008490,서흥,P
035890,서희건설,Q
357550,석경에이티,Q
003100,선광,Q
007610,선도전기,P
067370,선바이오,Q
002820,SUN&L,P
171090,선익시스템,Q
136490,선진,P
086710,선진뷰티사이언스,Q
014620,성광벤드,Q
037350,성도이엔지,Q
014915,성문전자우,P
014910,성문전자,P
004985,성신양회우,P
004980,성신양회,P
458650,성우,Q
081580,성우전자,Q
045300,성우테크론,Q
015750,성우하이텍,Q
365340,성일하이텍,Q
000180,성창기업지주,P
080470,성창오토텍,Q
043260,성호전자,Q
148150,세경하이테크,Q
002420,세기상사,P
061090,세나테크놀로지,Q
188260,세니젠,Q
053060,세동,Q
340440,세림B&G,Q
017510,세명전기,Q
490470,세미파이브,Q
004365,세방우,P
004360,세방,P
004490,세방전지,P
011560,세보엠이씨,Q
267080,세븐브로이맥주,X
396300,세아메카닉스,Q
001430,세아베스틸지주,P
306200,세아제강,P
003030,세아제강지주,P
058650,세아홀딩스,P
013000,세우글로벌,P
100700,세운메디칼,Q
024830,세원물산,Q
021820,세원정공,P
067830,세이브존I&C,P
258830,세종메디칼,Q
036630,세종텔레콤,Q
039310,세중,Q
075580,세진중공업,P
067770,세진티에스,Q
053450,세코닉스,Q
252500,세화피앤씨,Q
321370,센서뷰,Q
347000,센코,Q
331920,셀레믹스,Q
352770,셀레스트라,Q
471820,셀로맥스사이언스,Q
049180,셀루메드,Q
299660,셀리드,Q
108860,셀바스AI,Q
208370,셀바스헬스케어,Q
318160,셀바이오휴먼텍,Q
308430,셀비온,Q
068270,셀트리온,P
068760,셀트리온제약,Q
068940,셀피글로벌,Q
007720,소노스퀘어,Q
290690,소룩스,Q
950200,소마젠,Q
032680,소프트센,Q
032685,소프트센우,Q
258790,소프트캠프,Q
066910,손오공,Q
215090,솔디펜스,Q
238500,솔루믹스,X
33637K,솔루스첨단소재1우,P
33637L,솔루스첨단소재2우B,P
336370,솔루스첨단소재,P
248070,솔루엠,P
035610,솔본,Q
357780,솔브레인,Q
036830,솔브레인홀딩스,Q
304100,솔트룩스,Q
328380,솔트웨어,Q
004430,송원산업,P
086980,쇼박스,Q
017550,수산세보틱스,P
050960,수산아이앤티,Q
126720,수산인더스트리,P
084180,수성웹툰,Q
253840,수젠텍,Q
067160,SOOP,Q
298830,슈어소프트테크,Q
236200,슈프리마,Q
094840,슈프리마에이치큐,Q
192440,슈피겐코리아,Q
424960,스마트레이더시스템,Q
099440,스맥,Q
066590,스모트로닉,Q
357880,SKAI,Q
276040,스코넥,Q
060240,스타코링크,Q
115570,스타플렉스,Q
330730,스톤브릿지벤처스,Q
352090,스톰테크,Q
253450,스튜디오드래곤,Q
408900,스튜디오미르,Q
415380,스튜디오삼익,Q
026890,스틱인베스트먼트,P
013810,스페코,Q
347700,스피어,Q
049830,승일,Q
020710,시공테크,Q
033170,시그네틱스,Q
048870,시너지이노베이션,Q
025320,시노펙스,Q
134790,시디즈,P
340810,시선AI,Q
269620,시스웍,Q
000480,CR홀딩스,P
056090,시지메드텍,Q
429270,시지트로닉스,Q
418250,시큐레터,Q
131090,시큐브,Q
462870,시프트업,P
016590,신대양제지,P
290520,신도기연,Q
029530,신도리코,P
004970,신라교역,P
001000,신라섬유,Q
025870,신라에스지,Q
215600,신라젠,Q
